trans,word
"['vt. 使集中；[光][摄]使聚焦', 'n. [光][数]焦点；中心；清晰；焦距', 'n. (Focus)人名；(瑞典)福库斯', 'vi. 集中；聚焦；调节焦距', 'vi. 集中；[光][摄]聚焦；调节焦距', 'vt. 使集中；使聚焦', 'n. 焦点；中心；清晰；焦距']",focus
"['n. （坚决的或困难的）要求；（顾客的）需求', 'v. 强烈要求；需要；逼问；查问，查询', 'vt. 要求；需要；查询', 'vi. 需要；[计]请求；查问', 'n. (Demand) （德）德曼德（人名）', 'n. [经]需求；要求；需要']",demand
"['adj. [经]个人的；个别的；独特的', 'adj. 个人的；个别的；独特的', 'n. 个人，个体', 'n. [经]个人，[生物]个体']",individual
['n. 时机，机会'],opportunity
"['adj. 负责的，可靠的；有责任的', 'adj. [法]负责的，可靠的；有责任的']",responsible
['vt. 意味；暗示；隐含'],imply
"['vt. 证明', 'n. 证据，证明；迹象；明显', 'n. [法]证据，证明；迹象；明显']",evidence
"['vt. 产生；达到目的', 'n. 影响；效果；作用']",effect
"['vt. 确定；[计]识别；使参与；把…看成一样', 'vt. 确定；鉴定；识别，辨认出；使参与；把……看成一样', 'vi. 确定；认同；一致']",identify
"['adj. 基本的；必要的；本质的；精华的', 'n. 本质；要素；要点；必需品']",essential
"['vi. 成为王后或其他大于卒的子', 'vt. 促进；提升；推销；发扬']",promote
"['n. 资源，财力；办法；智谋', 'n. [计][环境]资源，财力；办法；智谋', 'vi. 向...提供资金']",resource
['adj. 各种各样的；多方面的'],various
"['n. 影响；效果；碰撞；冲击力', 'vt. 影响；[力]撞击；冲突；压紧', 'n. 影响；效果；[物]碰撞；[力]冲击力', 'vt. 挤入，压紧；撞击；对…产生影响', 'vi. 影响；撞击；冲突；压紧（on，upon，with）', 'vi. [力]冲击；产生影响']",impact
"['n. 数量，数额；总数；（感情、特质的）程度', 'vi. [会计]总计，合计；相当于；[数]共计；产生…结果', 'v. 总计，合计；等于，相当于；发展成，变成', 'n. 数量；总额，[数]总数']",amount
"['n. 转移；改变，转变；手段；轮班；轮班职工；转换（键）；（直筒式）连衣裙，内衣；计谋，诡计', 'v. 转移；快速移动；变换；改变观点；推卸（责任）；振作；移位；狼吞虎咽地吃；去除（污迹）；销售，出售；换挡；轮班；含糊其辞，拐弯抹角', 'vt. 转移；改变；替换', 'n. 移动；变化；手段；轮班', 'vi. 移动；转变；[遗]转换']",shift
"['vt. 发行，发布；发给；放出，排出', 'vi. [会计]发行；流出；造成…结果；传下', 'n. 问题；流出；期号；发行物', 'vt. [会计]发行，发布；发给；放出，排出', 'vi. 发行；流出；造成……结果；传下', 'n. 问题；流出；期号；[会计]发行物']",issue
['adj. 经济的，经济上的；经济学的'],economic
['adv. 越来越多地；渐增地'],increasingly
"['vt. 贡献，出力；[图情]投稿；[经]捐献', 'vt. 贡献，出力；投稿；捐献', 'vi. 有助于，促成，是……的原因之一；发表意见，提议']",contribute
"['n. （Data）（日）驮太（姓）；（印、葡）达塔（人名）', 'n. 数据（datum 的复数）；资料']",data
"['vt. 把…作为因素计入；代理经营；把…分解成', 'n. 因素；要素；[物] 因数；代理人', 'n. 因素；[经]要素；[物]因数；代理人', 'n. (Factor)人名；(英)法克特', 'vi. 做代理商']",factor
"['vi. 投资，入股；花钱买', 'vt. 投资；覆盖；耗费；授予；包围']",invest
"['n. 消费者；用户，顾客', 'n. [经][生态]消费者；用户，顾客']",consumer
"['adj. 鉴定的；[核]临界的；批评的，爱挑剔的；危险的；决定性的；评论的', 'adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的']",critical
"['vt. 尊敬，尊重；遵守', 'n. 尊敬，尊重；方面；敬意']",respect
"['n. 限制；限度；界线', 'vt. 限制；限定']",limit
"['vt. 申请；涂，敷；应用', 'vi. 申请；涂，敷；适用；请求']",apply
['adj. 金融的；财政的，财务的'],financial
['n. 结果；重要性；推论'],consequence
"['n. (Unique)人名；(英)尤妮克', 'adj. 独特的，稀罕的；[数] 唯一的，独一无二的', 'adj. 独特的，稀罕的；[数]唯一的，独一无二的', 'n. 独一无二的人或物']",unique
['vt. 包含；牵涉；使陷于；潜心于'],involve
"['v. 记下；逐条列出', 'n. 条款，项目；一则；一件商品（或物品）', 'n. [法]条款，项目；一则', 'adv. 又，同上']",item
"['adj. 现在的；流通的，通用的；最近的；草写的', 'n. （Current）（英）柯伦特（人名）', 'n. （水，气，电）流；趋势；涌流', 'n. （水，气，电）[流]流；趋势；涌流']",current
"['vt. 认为；估价；责骂', 'n. [数]比率，率；[力]速度；价格；等级', 'n. (Rate)人名；(法、塞)拉特', 'n. 比率，率；速度；价格；等级', 'vi. 责骂；被评价']",rate
"['n. 购买；购买的东西；支点；财产置得；（地产的）年收益；紧握；起重装置', 'v. 购买；获得，赢得；升起，举起', 'vt. [贸易]购买；赢得', 'n. [贸易]购买；紧握；起重装置']",purchase
